iter	MultiClass
0	0.670821074
1	0.6526264348
2	0.6376492062
3	0.6255070842
4	0.6150329552
5	0.6061198365
6	0.5985003855
7	0.5920280858
8	0.5864876285
9	0.5818569134
10	0.5786123963
11	0.5749387361
12	0.5719639566
13	0.5695858786
14	0.5672919943
15	0.5653231722
16	0.5637376121
17	0.5623056253
18	0.5610994697
19	0.560103206
20	0.5590481187
21	0.5585579049
22	0.5578012922
23	0.55721661
24	0.556768344
25	0.5562595165
26	0.5557210665
27	0.555372297
28	0.5549418681
29	0.5546610198
30	0.5543394578
31	0.5541957683
32	0.5539137085
33	0.5537440584
34	0.5534741978
35	0.5532204099
36	0.5530699528
37	0.5529557819
38	0.5528865929
39	0.5527256717
40	0.5525935203
41	0.5524272584
42	0.5523119042
43	0.5522183689
44	0.552116367
45	0.5520357497
46	0.5519300257
47	0.55185175
48	0.5518193981
49	0.5517410645
50	0.5516877458
51	0.5516649237
52	0.5516015464
53	0.5515493197
54	0.5515269357
55	0.5514309018
56	0.5513918053
57	0.5513327462
58	0.5512752057
59	0.5512165338
60	0.5511668336
61	0.5510975794
62	0.551048238
63	0.5509907556
64	0.5509052882
65	0.5508634867
66	0.5508378794
67	0.5507723262
68	0.5507714956
69	0.5507330978
70	0.5506902279
71	0.5506390685
72	0.5505957606
73	0.5505257098
74	0.5504923122
75	0.5503921163
76	0.5503536594
77	0.5503084378
78	0.5502707336
79	0.5502193839
80	0.5501721802
81	0.5501430759
82	0.5500947715
83	0.5500408089
84	0.5499642615
85	0.5499463493
86	0.5499040474
87	0.5498782919
88	0.5498581387
89	0.5498354709
90	0.5498004947
91	0.5497827603
92	0.5497548663
93	0.5497036336
94	0.5496285335
95	0.5495726572
96	0.5495314305
97	0.5494987669
98	0.5494768348
99	0.5494074282
100	0.5493781192
101	0.5492830069
102	0.5492159525
103	0.5491673781
104	0.5491027896
105	0.5490811667
106	0.5490119019
107	0.5489408521
108	0.5488155209
109	0.548768701
110	0.5486851157
111	0.5485373419
112	0.5484624384
113	0.548405151
114	0.548369297
115	0.5483328259
116	0.5482438006
117	0.5481270142
118	0.5480767482
119	0.5479943312
120	0.5479443363
121	0.5478926956
122	0.5478451204
123	0.5478054571
124	0.5477659846
125	0.5476849001
126	0.5476492714
127	0.5475782576
128	0.547535878
129	0.547486115
130	0.547392407
131	0.5473219014
132	0.5472517698
133	0.5471734649
134	0.5470638917
135	0.5470039736
136	0.5469372741
137	0.5468632035
138	0.5467654781
139	0.5467138918
140	0.5466631815
141	0.5466163513
142	0.5465218916
143	0.5464723825
144	0.5464383598
145	0.5463651258
146	0.546297515
147	0.5462383832
148	0.5461840808
149	0.5461460832
150	0.5461025342
151	0.5460532039
152	0.5460032982
153	0.5459326685
154	0.5458747038
155	0.545840656
156	0.5457900119
157	0.5457651874
158	0.545728583
159	0.5456322239
160	0.5455520354
161	0.5454675599
162	0.5453554015
163	0.5452898662
164	0.5452370418
165	0.545171089
166	0.5451380586
167	0.545090238
168	0.5450431029
169	0.5449648906
170	0.5448881474
