label,strength,model,accuracy,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,features
HE_obe,strong,cat,0.9917908178777743,0.9925742574257426,0.9907350216182829,0.9916537867078825,0.9910340705319785,0.9928143712574851,0.9919234220759796,"['HE_ht', 'HE_wt']"
HE_obe,strong,lgbm,0.9920948616600791,0.9919703520691785,0.9919703520691785,0.9919703520691785,0.9922155688622755,0.9922155688622755,0.9922155688622755,"['HE_ht', 'HE_wt']"
HE_obe,week,cat,0.994136460554371,0.9940955448201825,0.9940955448201825,0.9940955448201825,0.9941768131286395,0.9941768131286395,0.9941768131286395,"['HE_ht', 'HE_wt']"
HE_obe,week,lgbm,0.9949360341151386,0.9935760171306209,0.9962426194310252,0.9949075314928973,0.9962845010615711,0.9936474325039704,0.9949642194540154,"['HE_ht', 'HE_wt']"
HE_HCHOL,strong,cat,0.7250830564784053,0.7508710801393729,0.6962843295638126,0.7225481978206203,0.7015873015873015,0.7555555555555555,0.7275720164609053,"['age', 'HE_LDL_drct', 'HE_HDL_st2', 'HE_wc', 'HE_alt', 'HE_crea', 'HE_ht', 'HE_wt', 'HE_ast', 'BD1_11']"
HE_HCHOL,strong,lgbm,0.7342192691029901,0.7508389261744967,0.722940226171244,0.7366255144032922,0.7179276315789473,0.7461538461538462,0.7317686504610227,"['HE_LDL_drct', 'HE_wc', 'HE_ht', 'HE_HDL_st2', 'age', 'HE_crea', 'HE_wt', 'HE_alt', 'HE_ast', 'BD1_11']"
HE_HCHOL,week,cat,0.7250830564784053,0.7508710801393729,0.6962843295638126,0.7225481978206203,0.7015873015873015,0.7555555555555555,0.7275720164609053,"['age', 'HE_LDL_drct', 'HE_HDL_st2', 'HE_wc', 'HE_alt', 'HE_crea', 'HE_ht', 'HE_wt', 'HE_ast', 'BD1_11']"
HE_HCHOL,week,lgbm,0.7342192691029901,0.7508389261744967,0.722940226171244,0.7366255144032922,0.7179276315789473,0.7461538461538462,0.7317686504610227,"['HE_LDL_drct', 'HE_wc', 'HE_ht', 'HE_HDL_st2', 'age', 'HE_crea', 'HE_wt', 'HE_alt', 'HE_ast', 'BD1_11']"
HE_HTG,strong,cat,0.9068577277379734,0.9486081370449678,0.8686274509803922,0.9068577277379734,0.8686274509803922,0.9486081370449678,0.9068577277379734,"['HE_LDL_drct', 'HE_HDL_st2', 'HE_alt', 'age', 'HE_ast', 'HE_wc', 'HE_crea', 'HE_ht', 'BD1_11', 'HE_wt']"
HE_HTG,strong,lgbm,0.9129989764585466,0.9492600422832981,0.8803921568627451,0.91353001017294,0.878968253968254,0.9486081370449678,0.9124613800205973,"['HE_LDL_drct', 'HE_wc', 'HE_HDL_st2', 'HE_ht', 'HE_alt', 'age', 'HE_wt', 'HE_ast', 'HE_crea', 'BD1_11']"
HE_HTG,week,cat,0.9068577277379734,0.9486081370449678,0.8686274509803922,0.9068577277379734,0.8686274509803922,0.9486081370449678,0.9068577277379734,"['HE_LDL_drct', 'HE_HDL_st2', 'HE_alt', 'age', 'HE_ast', 'HE_wc', 'HE_crea', 'HE_ht', 'BD1_11', 'HE_wt']"
HE_HTG,week,lgbm,0.9129989764585466,0.9492600422832981,0.8803921568627451,0.91353001017294,0.878968253968254,0.9486081370449678,0.9124613800205973,"['HE_LDL_drct', 'HE_wc', 'HE_HDL_st2', 'HE_ht', 'HE_alt', 'age', 'HE_wt', 'HE_ast', 'HE_crea', 'BD1_11']"
HE_anem,strong,cat,0.6968810916179338,0.7054108216432866,0.6821705426356589,0.6935960591133005,0.6888045540796964,0.711764705882353,0.7000964320154291,"['age', 'HE_ht', 'HE_wt', 'HE_crea', 'HE_alt']"
HE_anem,strong,lgbm,0.7212475633528265,0.7327935222672065,0.7015503875968992,0.7168316831683168,0.7105263157894737,0.7411764705882353,0.72552783109405,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_ast', 'HE_alt']"
HE_anem,week,cat,0.6968810916179338,0.7054108216432866,0.6821705426356589,0.6935960591133005,0.6888045540796964,0.711764705882353,0.7000964320154291,"['age', 'HE_ht', 'HE_wt', 'HE_crea', 'HE_alt']"
HE_anem,week,lgbm,0.7212475633528265,0.7327935222672065,0.7015503875968992,0.7168316831683168,0.7105263157894737,0.7411764705882353,0.72552783109405,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_ast', 'HE_alt']"
HE_HP,strong,cat,0.8698630136986302,0.9202279202279202,0.8282051282051283,0.8717948717948718,0.8232189973614775,0.9176470588235294,0.8678720445062587,"['age', 'HE_HDL_st2', 'HE_LDL_drct', 'HE_wc', 'HE_crea']"
HE_HP,strong,lgbm,0.8780821917808219,0.9337175792507204,0.8307692307692308,0.8792401628222524,0.8276762402088773,0.9323529411764706,0.8769017980636238,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_LDL_drct', 'HE_wc', 'HE_crea', 'HE_ast', 'HE_alt']"
HE_HP,week,cat,0.7148846960167715,0.7169197396963124,0.7002118644067796,0.7084673097534834,0.7129817444219066,0.729253112033195,0.721025641025641,"['age', 'HE_ht', 'HE_wt', 'HE_wc']"
HE_HP,week,lgbm,0.7211740041928721,0.7327683615819209,0.6869703389830508,0.7091306724986332,0.7111436950146628,0.7546680497925311,0.7322596879718168,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_alt']"
HE_DM_HbA1c,strong,cat,0.7364963503649635,0.7956081081081081,0.6624472573839663,0.7229470452801228,0.6915167095115681,0.8163884673748103,0.7487821851078637,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_ast', 'HE_alt']"
HE_DM_HbA1c,strong,lgbm,0.724087591240876,0.7926186291739895,0.6343178621659634,0.7046875,0.6754057428214731,0.8209408194233687,0.7410958904109589,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_alt']"
HE_DM_HbA1c,week,cat,0.7169860176074573,0.7366347777152504,0.6768355739400207,0.705470223659391,0.7002398081534772,0.7572614107883817,0.7276351856466484,"['age', 'HE_ht', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_alt']"
HE_DM_HbA1c,week,lgbm,0.7244950802692905,0.7457627118644068,0.6825232678386763,0.712742980561555,0.7065009560229446,0.766597510373444,0.7353233830845771,"['age', 'HE_ht', 'HE_wt', 'HE_HDL_st2', 'HE_wc', 'HE_crea', 'HE_alt']"
